"","Week","Date","income","race","count","percent"
"64",12,"June 23","Low income","Black",29,68.9655172413793
"65",12,"June 23","Low income","LatinX",35,60
"66",12,"June 23","Low income","White",94,54.2553191489362
"67",13,"June 29","High income","Black",18,44.4444444444444
"68",13,"June 29","High income","LatinX",142,30.9859154929577
"69",13,"June 29","High income","White",334,18.8622754491018
"70",13,"June 29","Low income","Black",20,75
"71",13,"June 29","Low income","LatinX",73,65.7534246575343
"72",13,"June 29","Low income","White",81,61.7283950617284
"73",14,"July 06","High income","Black",59,49.1525423728814
"74",14,"July 06","High income","LatinX",96,33.3333333333333
"75",14,"July 06","High income","White",384,18.4895833333333
"76",14,"July 06","Low income","Black",61,65.5737704918033
"77",14,"July 06","Low income","LatinX",65,67.6923076923077
"78",14,"July 06","Low income","White",84,63.0952380952381
"79",15,"July 13","High income","Black",64,39.0625
"80",15,"July 13","High income","LatinX",113,40.7079646017699
"81",15,"July 13","High income","White",480,21.25
"82",15,"July 13","Low income","Black",33,57.5757575757576
"83",15,"July 13","Low income","LatinX",67,73.134328358209
"84",15,"July 13","Low income","White",95,53.6842105263158
"85",16,"July 20","High income","Black",67,41.7910447761194
"86",16,"July 20","High income","LatinX",101,38.6138613861386
"87",16,"July 20","High income","White",471,18.6836518046709
"88",16,"July 20","Low income","Black",35,57.1428571428571
"89",16,"July 20","Low income","LatinX",61,68.8524590163934
"90",16,"July 20","Low income","White",98,59.1836734693878
"91",17,"July 27","High income","Black",73,34.2465753424658
"92",17,"July 27","High income","LatinX",97,46.3917525773196
"93",17,"July 27","High income","White",510,23.3333333333333
"94",17,"July 27","Low income","Black",35,60
"95",17,"July 27","Low income","LatinX",56,73.2142857142857
"96",17,"July 27","Low income","White",79,55.6962025316456
"97",19,"August 11","High income","Black",67,40.2985074626866
"98",19,"August 11","High income","LatinX",115,46.9565217391304
"99",19,"August 11","High income","White",534,22.2846441947566
"100",19,"August 11","Low income","Black",31,61.2903225806452
"101",19,"August 11","Low income","LatinX",59,67.7966101694915
"102",19,"August 11","Low income","White",108,59.2592592592593
"103",21,"August 25","High income","Black",70,40
"104",21,"August 25","High income","LatinX",95,41.0526315789474
"105",21,"August 25","High income","White",540,23.5185185185185
"106",21,"August 25","Low income","Black",35,62.8571428571429
"107",21,"August 25","Low income","LatinX",49,55.1020408163265
"108",21,"August 25","Low income","White",101,56.4356435643564
"109",23,"September 08","High income","Black",81,37.037037037037
"110",23,"September 08","High income","LatinX",85,54.1176470588235
"111",23,"September 08","High income","White",505,26.7326732673267
"112",23,"September 08","Low income","Black",38,55.2631578947368
"113",23,"September 08","Low income","LatinX",56,60.7142857142857
"114",23,"September 08","Low income","White",136,62.5
